id,name,marker,state,distance
af31f711-4a96-4436-a6dd-cb0d3c08cca2,Interstate 580,Richmond,CA
c7b04df5-d280-489d-b45a-b9318270930c,Interstate 580,San Rafael,CA
c1d90cdb-7af3-42d1-ab1a-fc135cbc59f8,Interstate 205,Lathrop,CA
54c38161-c543-43f6-9538-efb8817985e2,Interstate 205,Tracy,CA
3e176b77-ba20-419e-a845-06168ab40735,Interstate 680,San Jose,CA
9b60bd80-4fd5-4fff-806d-4bc5d1b087e0,Interstate 680,Milpitas,CA
143aded3-dd1b-4c05-8f43-0f917058a624,Interstate 680,Freemont,CA
cd232d72-5ee2-4322-a605-e0492a80ba59,Interstate 680,Cordelia,CA
56fd9170-3a19-462e-9967-e35d9a211012,Interstate 680,Verona,CA
5440606b-7291-408e-aef1-476508e71c5a,Interstate 680,Dublin,CA
d8cebea3-d47b-41f3-8961-274853bfd14a,Interstate 680,San Ramon,CA
9c094536-8782-484d-9852-fe6a2f3599fb,Interstate 680,Danville,CA
2d2c46f0-25f4-4ee7-8145-e31931941604,Interstate 680,Alamo,CA
cf35b0eb-af2d-40ad-94c2-97c54f4a566b,Interstate 680,Walnut Creek,CA
93111984-abdc-4633-bec7-bbd5e1527976,Interstate 680,Pleasant Hill,CA
17a986cc-4b34-4afd-b972-3c6e824b653a,Interstate 680,Concord,CA
5ed93e46-ee7f-4c37-938d-e0a6e3a45c61,Interstate 680,Benecia,CA
586fc4b1-f099-4641-b9ee-97f0f95a372b,Route 4,Hercules,CA
2e6d2106-76c4-4e12-bbc6-ee6b8e8f9111,Route 4,Martinez,CA
ba1effce-57b7-4d46-97b6-beb1625c6280,Route 4,Concord,CA
f8e382a5-368d-46d9-8401-354b6aaa3f06,Route 4,Pittsburg,CA
54b32cd6-e96f-4641-8e08-eb3c887f0fd6,Route 4,Antioch,CA
8312b7df-e06f-4e05-875e-eff55b987e54,Route 4,Brentwood,CA
0e2f591b-8905-493c-9cbb-dd861a7b18a7,Route 4,Byron,CA
74458896-1ecb-494c-a7aa-8a51272dd1fa,Route 4,Stockton,CA
f525a4e5-6723-4cad-a774-a5c95cf0af27,Route 4,Farmington,CA
42f2aea4-b5bc-4cce-805e-dd5715c78ccf,Interstate 780,Benecia,CA
98866bd1-8ab8-4c75-8293-86eebcbb2495,Interstate 780,Vallejo,CA
f6cf31d7-1a82-4587-aa28-c3b80d6d84f8,Route 37,Novato,CA
f1085656-1ca1-4ba0-ac37-87d593652ccf,Route 37,Vallejo,CA
5e7f8ede-ad82-4c5b-b8fb-06bbb754d4fd,Route 99,Bakersfield,CA
04108a20-7b57-4623-bee3-4d75a987cfa7,Route 99,Shafter,CA
09c97d9d-39b3-4b17-8e92-a13f1845e729,Route 99,Famoso,CA
bd281f83-59c3-400c-b3e3-1799926533a5,Route 99,Mcfarland,CA
e9140c92-0cbd-4871-8297-be37ea3e8dbc,Route 99,Earlimart,CA
5a53bd54-478d-49a7-bb76-651c9f00d515,Route 99,Pixley,CA
e85e3c81-185c-4be6-abb8-12e66e256754,Route 99,Tipton,CA
aba489fa-454e-4561-af16-1cc5292371b6,Route 99,Tulare,CA
399c38a1-3d5c-4811-ad38-c246c56b652a,Route 99,Visalia,CA
80587569-6d99-43b4-89c4-e3a916550348,Route 99,Goshen,CA
4b4a19b5-0411-4ee9-8b85-b153d0cd87ce,Route 99,Traver,CA
e62fbb68-8bb7-4f7e-bdae-c7c33b962a01,Route 99,Kingburg,CA
42908fdf-e003-428c-a96b-63ca03a76649,Route 99,Selma,CA
dbef806d-f123-45c3-a537-856cddd318ea,Route 99,Fowler,CA
d534c4e2-922b-45ef-8b5a-9cac5029be81,Route 99,Fresno,CA
9a1b84f4-e5cc-401d-8e88-28db1343078f,Route 99,Madera,CA
4d902bf2-2974-493e-bf3d-ddd9e9267c25,Route 99,Merced,CA
6eea82a4-8aaa-4bbc-bf5f-d2505e9d3394,Route 99,Turlock,CA
dea72159-0beb-45b1-be08-c4985377e017,Route 99,Modesto,CA
d6a29e8c-1ce8-4ab7-affb-9099ba3b0441,Route 99,Manteca,CA
f54ec6e9-af30-48ea-9972-70a8101477d4,Route 99,Stockton,CA
6566cb99-a63e-4b64-87e5-6cb05ca108a3,Route 99,Lodi,CA
cb34e1ea-2bf1-4a38-b6b6-04d3ec5450b5,Route 99,Galt,CA
989f3a24-e82c-47ec-8ebc-8f3a8337d4cf,Route 99,Elk Grove,CA
1c06ba56-8133-4e3a-a265-2107593bcba9,Route 99,Sacramento,CA
95f93d86-469c-4546-b56c-9207e813f4e6,Route 99,Yuba City,CA
dd382595-c71c-45eb-8d07-4deee496be8d,Route 99,Durham,CA
f44b4d50-5898-43a3-ab9c-db1ca861ea9d,Route 99,Chico,CA
c112ef6b-2a79-4f8c-9da3-c6505b029c4c,Interstate 15,San Diego,CA
6571c9f0-4f70-420a-80fb-8be5314e1c71,Interstate 15,Escondido,CA
e580d5b5-c8dd-4b7f-bf8f-4bf1a63b9b82,Interstate 15,Bonsall,CA
cb0687f6-2e3d-4cdb-8feb-baf6420e6c57,Interstate 15,Rainbow,CA
26b2bb6a-f031-4a48-99ff-cda0cbd7ab77,Interstate 15,Temecula,CA
74b5800d-9a85-4627-b31f-5b74e2d4f836,Interstate 15,Murrieta,CA
140e1d72-fc4a-4e69-9055-2512c9a47636,Interstate 15,Wildomar,CA
b76c56ce-cedd-42af-a22d-84c8ac61317a,Interstate 15,Corona,CA
86ef97d0-8eff-4150-bc7c-def2ce1765c6,Interstate 15,Norco,CA
a12b4488-eb10-4702-86c5-a4b468b7c595,Interstate 15,Ontario,CA
5b92a22c-9cbc-4504-b446-2df126f1fb01,Interstate 15,Rancho Cucamongo,CA
b60422b5-cb69-403c-8161-e878a04f01b9,Interstate 15,Fontana,CA
61c75de6-d4fe-410a-8e54-9102affcf054,Interstate 15,San Bernardino,CA
5b39541a-2e0e-45a7-ae44-28e6e67bb251,Interstate 15,Barstow,CA
915e90a7-c406-49d2-a900-3b406b1eb6e2,Interstate 15,Baker,CA
b4091fae-0a08-4a52-a52d-ebaa6c2ea3dc,Interstate 10,Santa Monica,CA
5239db8e-5490-4cb6-814c-37d33df288eb,Interstate 10,Los Angeles,CA
e9bd5e6b-e1fc-472f-8740-803408c1ce87,Interstate 10,Alhambra,CA
0fdd49db-3d46-4d82-8ed1-241afc1ec4a2,Interstate 10,San Gabriel,CA
c4fa0840-87dd-43ba-b9af-29dad62a1e44,Interstate 10,Rosemead,CA
4a570d91-e91d-4dbe-9463-29c3c1ed383b,Interstate 10,El Monte,CA
14d073e0-9e08-4d4c-be80-60cce9fee8f3,Interstate 10,Baldwin Park,CA
704e78b4-fb9e-4baf-b857-bd254ef11a19,Interstate 10,West Covina,CA
8fd0f6bf-5199-4a4e-9b3a-d3df3f72ec60,Interstate 10,Covina,CA
75bb97db-cca9-4b3f-9374-6da82324ea4f,Interstate 10,San Dimas,CA
23619436-4bae-476e-931c-339a3f6cfb27,Interstate 10,Pomona,CA
1a7cdc8d-e18e-4852-bb01-8aa7e5ad2831,Interstate 10,Claremont,CA
433dccb9-e8e7-47e6-bf79-135b951f679e,Interstate 10,Montclair,CA
22457117-91a8-485c-b11f-ce98aafcc2ac,Interstate 10,Upland,CA
d0e98d2a-4fd2-44f6-a850-3e7f76de7c28,Interstate 10,Ontario,CA
28603aff-c812-437b-a80a-1694356e34bd,Interstate 10,Fontana,CA
e07478b9-c487-482e-9689-38be4e23a9ab,Interstate 10,Bloomington,CA
6ddaa3c3-e64a-40e7-9bf9-9e0bec4bc3ef,Interstate 10,Colton,CA
38ad4218-b834-4e4c-8327-cb0c278eff29,Interstate 10,San Bernardino,CA
23d2b036-82e6-4aa0-bd46-deca5d26919f,Interstate 10,Loma Linda,CA
0d703a2e-9945-4576-b0bb-ebe10a434a7c,Interstate 10,Redlands,CA
f7a3f354-5dcc-489c-9492-27d1a03efe54,Interstate 10,Calimesa,CA
db7182fe-b833-4ffc-935a-938f99350f62,Interstate 10,Beaumont,CA
bed363aa-f4e2-407e-8a84-1bbccc5423ae,Interstate 10,Banning,CA
b20c74e7-8d51-42d0-89c0-732965935b9b,Interstate 10,Cabazon,CA
31d91805-02d0-40ee-a07c-2b4000180be5,Interstate 10,White Water,CA
2a4f6635-7edc-4356-b379-279e221f2095,Interstate 10,North Palm Springs,CA
ffd0e9a8-da6f-4d1a-a2a8-06d52881c3a5,Interstate 10,Cathedral City,CA
4fa8243b-3264-43db-b6ab-938e807de415,Interstate 10,Rancho Mirage,CA
21296d48-1805-436b-937c-b24fae05cc39,Interstate 10,Palm Dessert,CA
9f561af3-d162-4391-9e10-1978fca36543,Interstate 10,Indio,CA
212e7f99-10e1-4172-85c1-1749f73eb991,Interstate 10,Blythe,CA
876535ec-adc9-41af-8d1c-be15a75cce91,Interstate 40,Barstow,CA
0582cb7b-e144-4847-b46f-d4ba9865219c,Interstate 40,Ludlow,CA
9356948e-3fe8-4d4b-b4af-d0866cf9fed7,Interstate 40,Needles,CA
9272c5c5-1e38-4fcf-b1ba-50e3b1f9230c,Sir Francis Drake Blvd,Larkspur,CA
960aadb7-953a-4586-afc1-9cbe0186d39f,Sir Francis Drake Blvd,Kentfield,CA
8ade9679-b7c4-4dc7-962c-012f7e4584d7,Sir Francis Drake Blvd,Ross,CA
cd71937f-97a1-498f-9443-a2e2bde50ff9,Sir Francis Drake Blvd,San Anselmo,CA
164e1582-f683-401a-9698-e9ce0168639e,Sir Francis Drake Blvd,Fairfax,CA
R644af0ac-5c0d-4793-97af-2877a15ad8cd,State Route 85,San Jose,CA,
R5d50fcdd-2913-4679-b293-6b3c81ff3389,State Route 85,Los Gatos,CA,
Re1a09c2c-4b2d-4a49-96bd-3d7eb232f0f4,State Route 85,Saratoga,CA,
R8687f15e-c273-4400-b83e-f177f720f9e4,State Route 85,San Jose,CA,
Rc7bbdb0e-bae4-4338-bdc7-5837a8421004,State Route 85,Cupertino,CA,
R97b7722d-528a-4190-9058-c1f052d25298,State Route 85,Sunnyvale–Los Altos line,CA,
R83d3ecb4-4e24-43e4-bba9-4b5c7aa1ad1c,State Route 85,Mountain View,CA,
R4b76d871-9faf-4743-9ca6-e80bc754db7c,Interstate 280,San Jose,CA,
R5f37ba4c-03fc-4376-9569-23355770fd9e,Interstate 280,Cupertino,CA,
R8cb66222-b363-428f-8779-5c68a8ef7583,Interstate 280,Los Altos,CA,
R30bcae59-6cfc-45d0-93ae-91539d06b551,Interstate 280,Los Altos Hills,CA,
R73ed91f0-da60-47f5-ade3-4c3d0477aced,Interstate 280,Woodside,CA,
Rb745a795-1072-4abe-89cd-386bb2ccf7c1,Interstate 280,Hillsborough,CA,
R1c009c11-cf42-408d-809e-0cc520bb95ee,Interstate 280,Millbrae,CA,
R5c5e3c88-af8b-435d-a4d3-7aa06a5659ab,Interstate 280,South San Francisco,CA,
R49a9eb20-3839-45c5-a7a6-a08e68c3521e,Interstate 280,Daly City,CA,
Rf1e61a01-6ae3-46d5-8233-8e8acc5ac9b9,Interstate 280,City and County of San Francisco,CA,
R84e0f622-de1f-47ce-a002-e4c94cd04d79,State Route 17,Santa Cruz,CA,
Rca7be651-65ca-4c8a-b012-c3aa02a42420,State Route 17,Scotts Valley,CA,
R7ee22554-1c9a-432a-931e-6369532db268,State Route 17,Patchen Pass,CA,
R0e2da6ee-0ebc-40c6-92fa-44ad4297a927,State Route 17,Campbell,CA,
R13f720d3-e57a-439b-8466-8ef463b1f1a2,State Route 17,San Jose,CA,
Rb905c9d9-fe9e-486e-96fd-5af3ea9009d8,Interstate 880,San Jose,CA,
Rbf620770-ab73-4003-bc10-14583b0724f8,Interstate 880,Milpitas,CA,
R67e28502-9f55-44a7-9ddc-152e9146f828,Interstate 880,Milpitas–Fremont line,CA,
Rd13f7615-b3a7-4738-997a-5ad0fd414d6b,Interstate 880,Fremont,CA,
R4dd9759e-e17c-4e5a-9684-75ad44425af4,Interstate 880,Fremont–Newark line,CA,
Re5f08e45-2fa5-4784-ab12-8a437898a584,Interstate 880,Union City,CA,
R84ac8260-9cfc-492b-9a3f-8a061d5a1c27,Interstate 880,Hayward,CA,
R40ecd18c-8a36-449b-87d2-61fbedcc8444,Interstate 880,San Lorenzo,CA,
R78b0cd64-c705-4e73-8317-79bbfc86a491,Interstate 880,San Leandro,CA,
R123dd038-27ac-4844-92ea-847a90231485,Interstate 880,Oakland,CA,
R833c0231-c104-40ad-a70e-e880d70e738f,State Route 152,Watsonville,CA,
